Implementation,Amplification,NS Delegations
bind9,1,1
bind9,1,2
bind9,2,3
bind9,2,4
bind9,3,5
bind9,3,6
bind9,4,7
bind9,4,8
bind9,5,9
bind9,5,10
unbound-1.17.0,12,1
unbound-1.17.0,24,2
unbound-1.17.0,36,3
unbound-1.17.0,36,4
unbound-1.17.0,36,5
unbound-1.17.0,36,6
unbound-1.17.0,36,7
unbound-1.17.0,36,8
unbound-1.17.0,36,9
unbound-1.17.0,36,10
unbound-1.16.0,12,1
unbound-1.16.0,24,2
unbound-1.16.0,36,3
unbound-1.16.0,36,4
unbound-1.16.0,36,5
unbound-1.16.0,36,6
unbound-1.16.0,36,7
unbound-1.16.0,36,8
unbound-1.16.0,36,9
unbound-1.16.0,36,10
unbound-1.10.0,10,1
unbound-1.10.0,20,2
unbound-1.10.0,30,3
unbound-1.10.0,40,4
unbound-1.10.0,50,5
unbound-1.10.0,60,6
unbound-1.10.0,70,7
unbound-1.10.0,80,8
unbound-1.10.0,90,9
unbound-1.10.0,102,10
powerDNS-4.7,6,1
powerDNS-4.7,12,2
powerDNS-4.7,17,3
powerDNS-4.7,17,4
powerDNS-4.7,17,5
powerDNS-4.7,17,6
powerDNS-4.7,17,7
powerDNS-4.7,17,8
powerDNS-4.7,17,9
powerDNS-4.7,17,10
