x,y,hue
1,2.000000,bind-9.11.3
2,4.000000,bind-9.11.3
3,6.000000,bind-9.11.3
4,7.000000,bind-9.11.3
5,10.000000,bind-9.11.3
6,10.000000,bind-9.11.3
7,12.000000,bind-9.11.3
8,11.000000,bind-9.11.3
9,13.000000,bind-9.11.3
10,12.000000,bind-9.11.3
1,161.000000,unbound-1.10.0
2,322.000000,unbound-1.10.0
3,483.000000,unbound-1.10.0
4,645.000000,unbound-1.10.0
5,807.000000,unbound-1.10.0
6,970.000000,unbound-1.10.0
7,1133.000000,unbound-1.10.0
8,1294.000000,unbound-1.10.0
9,1456.000000,unbound-1.10.0
10,1618.000000,unbound-1.10.0
1,221.000000,unbound-1.16.0
2,442.000000,unbound-1.16.0
3,663.000000,unbound-1.16.0
4,665.000000,unbound-1.16.0
5,671.000000,unbound-1.16.0
6,669.000000,unbound-1.16.0
7,668.000000,unbound-1.16.0
8,665.000000,unbound-1.16.0
9,671.000000,unbound-1.16.0
10,665.000000,unbound-1.16.0
1,95.000000,powerDNS-4.7.3
2,95.000000,powerDNS-4.7.3
3,95.000000,powerDNS-4.7.3
4,95.000000,powerDNS-4.7.3
5,95.000000,powerDNS-4.7.3
6,95.000000,powerDNS-4.7.3
7,95.000000,powerDNS-4.7.3
8,95.000000,powerDNS-4.7.3
9,95.000000,powerDNS-4.7.3
10,95.000000,powerDNS-4.7.3
