x,y,hue
0,0.072000,bind-9.18.4
200,3.397000,bind-9.18.4
400,11.562000,bind-9.18.4
600,19.790000,bind-9.18.4
800,23.014000,bind-9.18.4
1000,26.221000,bind-9.18.4
1200,29.359000,bind-9.18.4
1400,32.557000,bind-9.18.4
0,0.022000,unbound-1.16.0
200,2.353000,unbound-1.16.0
400,4.477000,unbound-1.16.0
600,6.657000,unbound-1.16.0
800,8.889000,unbound-1.16.0
1000,11.122000,unbound-1.16.0
1200,13.277000,unbound-1.16.0
1400,15.600000,unbound-1.16.0
0,0.035000,powerDNS-4.7.3
200,2.297000,powerDNS-4.7.3
400,4.482000,powerDNS-4.7.3
600,11.734000,powerDNS-4.7.3
800,11.501000,powerDNS-4.7.3
1000,11.047000,powerDNS-4.7.3
1200,11.084000,powerDNS-4.7.3
1400,10.614000,powerDNS-4.7.3
