Delay,Query Duration,Implementation
0,0,bind-9.11.3
0,0,unbound-1.16.0
0,0,powerDNS-4.7.3
200,0,bind-9.11.3
200,0,unbound-1.16.0
200,0,powerDNS-4.7.3
400,0,bind-9.11.3
400,0,unbound-1.16.0
400,0,powerDNS-4.7.3
600,0,bind-9.11.3
600,0,unbound-1.16.0
600,0,powerDNS-4.7.3
800,0,bind-9.11.3
800,0,unbound-1.16.0
800,0,powerDNS-4.7.3
1000,0,bind-9.11.3
1000,0,unbound-1.16.0
1000,0,powerDNS-4.7.3
1200,0,bind-9.11.3
1200,0,unbound-1.16.0
1200,0,powerDNS-4.7.3
1400,0,bind-9.11.3
1400,0,unbound-1.16.0
1400,0,powerDNS-4.7.3
