x,y,hue
0,0.073000,bind-9.18.4
200,3.377000,bind-9.18.4
400,6.587000,bind-9.18.4
600,9.788000,bind-9.18.4
800,12.972000,bind-9.18.4
1000,16.194000,bind-9.18.4
1200,19.348000,bind-9.18.4
1400,22.564000,bind-9.18.4
0,0.023000,unbound-1.16.0
200,2.284000,unbound-1.16.0
400,4.472000,unbound-1.16.0
600,6.680000,unbound-1.16.0
800,8.886000,unbound-1.16.0
1000,11.055000,unbound-1.16.0
1200,13.256000,unbound-1.16.0
1400,15.461000,unbound-1.16.0
0,0.025000,powerDNS-4.7.3
200,2.298000,powerDNS-4.7.3
400,4.496000,powerDNS-4.7.3
600,6.690000,powerDNS-4.7.3
800,6.454000,powerDNS-4.7.3
1000,6.030000,powerDNS-4.7.3
1200,6.069000,powerDNS-4.7.3
1400,5.611000,powerDNS-4.7.3
