x,y,hue
0,0,bind-9.11.3
0,0,unbound-1.16.0
0,0,powerDNS-4.7.3
200,3,bind-9.11.3
200,2,unbound-1.16.0
200,2,powerDNS-4.7.3
400,11,bind-9.11.3
400,4,unbound-1.16.0
400,4,powerDNS-4.7.3
600,19,bind-9.11.3
600,6,unbound-1.16.0
600,11,powerDNS-4.7.3
800,22,bind-9.11.3
800,8,unbound-1.16.0
800,11,powerDNS-4.7.3
1000,26,bind-9.11.3
1000,11,unbound-1.16.0
1000,11,powerDNS-4.7.3
1200,29,bind-9.11.3
1200,13,unbound-1.16.0
1200,11,powerDNS-4.7.3
1400,32,bind-9.11.3
1400,15,unbound-1.16.0
1400,10,powerDNS-4.7.3
