x,y,hue
0,0.107000,bind-9.18.4
200,3.369000,bind-9.18.4
400,6.579000,bind-9.18.4
600,9.771000,bind-9.18.4
800,12.975000,bind-9.18.4
1000,16.264000,bind-9.18.4
1200,19.430000,bind-9.18.4
1400,22.709000,bind-9.18.4
0,0.039000,unbound-1.10.0
200,1.713000,unbound-1.10.0
400,3.317000,unbound-1.10.0
600,4.861000,unbound-1.10.0
800,7.390000,unbound-1.10.0
1000,8.049000,unbound-1.10.0
1200,9.668000,unbound-1.10.0
1400,11.236000,unbound-1.10.0
0,0.022000,unbound-1.16.0
200,2.269000,unbound-1.16.0
400,4.482000,unbound-1.16.0
600,6.667000,unbound-1.16.0
800,8.869000,unbound-1.16.0
1000,11.072000,unbound-1.16.0
1200,13.336000,unbound-1.16.0
1400,15.452000,unbound-1.16.0
0,0.027000,powerDNS-4.7.3
200,2.281000,powerDNS-4.7.3
400,4.480000,powerDNS-4.7.3
600,6.670000,powerDNS-4.7.3
800,6.428000,powerDNS-4.7.3
1000,6.032000,powerDNS-4.7.3
1200,6.039000,powerDNS-4.7.3
1400,5.633000,powerDNS-4.7.3
