Implementation,Amplification,NS Delegations
bind-9.11.3,2,1
unbound-1.16.0,221,1
unbound-1.10.0,161,1
powerDNS-4.7.3,95,1
unbound-1.10.0,322,2
powerDNS-4.7.3,95,2
bind-9.11.3,4,2
unbound-1.16.0,442,2
bind-9.11.3,6,3
unbound-1.16.0,666,3
unbound-1.10.0,483,3
powerDNS-4.7.3,95,3
bind-9.11.3,8,4
unbound-1.16.0,665,4
unbound-1.10.0,647,4
powerDNS-4.7.3,95,4
bind-9.11.3,9,5
unbound-1.16.0,663,5
unbound-1.10.0,807,5
powerDNS-4.7.3,95,5
bind-9.11.3,10,6
unbound-1.16.0,667,6
unbound-1.10.0,970,6
powerDNS-4.7.3,95,6
bind-9.11.3,11,7
unbound-1.16.0,663,7
unbound-1.10.0,1131,7
powerDNS-4.7.3,95,7
unbound-1.10.0,1293,8
powerDNS-4.7.3,95,8
bind-9.11.3,13,8
unbound-1.16.0,665,8
bind-9.11.3,14,9
unbound-1.16.0,676,9
unbound-1.10.0,1458,9
powerDNS-4.7.3,95,9
bind-9.11.3,15,10
unbound-1.16.0,663,10
unbound-1.10.0,1617,10
powerDNS-4.7.3,95,10
