Implementation,Amplification,NS Delegations
unbound-1.10.0,18,1
powerDNS-4.7.3,11,1
bind-9.11.3,1,1
unbound-1.16.0,24,1
powerDNS-4.7.3,22,2
bind-9.11.3,2,2
unbound-1.16.0,48,2
unbound-1.10.0,36,2
unbound-1.16.0,72,3
unbound-1.10.0,54,3
powerDNS-4.7.3,33,3
bind-9.11.3,3,3
bind-9.11.3,4,4
unbound-1.16.0,72,4
unbound-1.10.0,72,4
powerDNS-4.7.3,44,4
powerDNS-4.7.3,55,5
bind-9.11.3,5,5
unbound-1.16.0,72,5
unbound-1.10.0,90,5
unbound-1.16.0,72,6
unbound-1.10.0,108,6
powerDNS-4.7.3,66,6
bind-9.11.3,6,6
powerDNS-4.7.3,77,7
bind-9.11.3,7,7
unbound-1.16.0,72,7
unbound-1.10.0,126,7
bind-9.11.3,8,8
unbound-1.16.0,72,8
unbound-1.10.0,144,8
powerDNS-4.7.3,88,8
bind-9.11.3,9,9
unbound-1.16.0,72,9
unbound-1.10.0,162,9
powerDNS-4.7.3,95,9
bind-9.11.3,10,10
unbound-1.16.0,72,10
unbound-1.10.0,181,10
powerDNS-4.7.3,95,10
