Implementation,Amplification,NS Delegations
bind-9.11.3,2,1
unbound-1.16.0,48,1
unbound-1.10.0,36,1
powerDNS-4.7.3,22,1
bind-9.11.3,4,2
unbound-1.16.0,96,2
unbound-1.10.0,72,2
powerDNS-4.7.3,44,2
bind-9.11.3,6,3
unbound-1.16.0,144,3
unbound-1.10.0,108,3
powerDNS-4.7.3,66,3
bind-9.11.3,7,4
unbound-1.16.0,144,4
unbound-1.10.0,144,4
powerDNS-4.7.3,88,4
bind-9.11.3,10,5
unbound-1.16.0,144,5
unbound-1.10.0,180,5
powerDNS-4.7.3,95,5
unbound-1.16.0,148,6
unbound-1.10.0,216,6
powerDNS-4.7.3,95,6
bind-9.11.3,10,6
bind-9.11.3,12,7
unbound-1.16.0,144,7
unbound-1.10.0,255,7
powerDNS-4.7.3,95,7
bind-9.11.3,12,8
unbound-1.16.0,144,8
unbound-1.10.0,288,8
powerDNS-4.7.3,95,8
bind-9.11.3,14,9
unbound-1.16.0,144,9
unbound-1.10.0,324,9
powerDNS-4.7.3,95,9
bind-9.11.3,15,10
unbound-1.16.0,144,10
unbound-1.10.0,360,10
powerDNS-4.7.3,95,10
