hue,y,x
bind-9.11.3,1,1
unbound-1.16.0,24,1
unbound-1.10.0,20,1
powerDNS-4.7.3,12,1
bind-9.11.3,2,2
unbound-1.16.0,48,2
unbound-1.10.0,40,2
powerDNS-4.7.3,24,2
unbound-1.16.0,72,3
unbound-1.10.0,60,3
powerDNS-4.7.3,36,3
bind-9.11.3,3,3
bind-9.11.3,4,4
unbound-1.16.0,72,4
unbound-1.10.0,80,4
powerDNS-4.7.3,48,4
bind-9.11.3,5,5
unbound-1.16.0,72,5
unbound-1.10.0,100,5
powerDNS-4.7.3,52,5
unbound-1.10.0,120,6
powerDNS-4.7.3,52,6
bind-9.11.3,6,6
unbound-1.16.0,72,6
unbound-1.10.0,140,7
powerDNS-4.7.3,52,7
bind-9.11.3,7,7
unbound-1.16.0,72,7
bind-9.11.3,8,8
unbound-1.16.0,72,8
unbound-1.10.0,160,8
powerDNS-4.7.3,52,8
bind-9.11.3,9,9
unbound-1.16.0,72,9
unbound-1.10.0,180,9
powerDNS-4.7.3,52,9
bind-9.11.3,10,10
unbound-1.16.0,72,10
unbound-1.10.0,200,10
powerDNS-4.7.3,52,10
