Implementation,Amplification,NS Delegations
bind-9.11.3,1,1
unbound-1.16.0,12,1
unbound-1.10.0,10,1
powerDNS-4.7.3,6,1
bind-9.11.3,2,2
unbound-1.16.0,24,2
unbound-1.10.0,20,2
powerDNS-4.7.3,12,2
unbound-1.10.0,30,3
powerDNS-4.7.3,18,3
bind-9.11.3,3,3
unbound-1.16.0,36,3
bind-9.11.3,4,4
unbound-1.16.0,36,4
unbound-1.10.0,40,4
powerDNS-4.7.3,24,4
bind-9.11.3,5,5
unbound-1.16.0,36,5
unbound-1.10.0,50,5
powerDNS-4.7.3,30,5
bind-9.11.3,6,6
unbound-1.16.0,36,6
unbound-1.10.0,60,6
powerDNS-4.7.3,36,6
unbound-1.10.0,70,7
powerDNS-4.7.3,42,7
bind-9.11.3,7,7
unbound-1.16.0,36,7
powerDNS-4.7.3,48,8
bind-9.11.3,8,8
unbound-1.16.0,36,8
unbound-1.10.0,80,8
bind-9.11.3,9,9
unbound-1.16.0,36,9
unbound-1.10.0,92,9
powerDNS-4.7.3,52,9
bind-9.11.3,10,10
unbound-1.16.0,36,10
unbound-1.10.0,100,10
powerDNS-4.7.3,52,10
